"","Study","MAgeY","MAgeOld","NTEnc","NTRecog","NFoils","ExpoSec","DelayMin","Change","TestExp","IHits","NHits","Hits","wHits","IFA","NFA","FA","wFA","IBeta","NBeta","Beta","wBeta","filter_."
"1",2.2,32,69,48,48,24,NA,"immediate","yes","no","included",70,0.131822859584338,17.4478457413219,"included",70,0.939347543652776,15.7499630270976,"excluded",NA,NA,NA,"Not Selected"
"2",3.1,27.9,66.7,48,48,24,NA,"immediate","yes","no","included",30,0.00887351351351351,7.4999261826871,"included",30,1.45477057161141,5.93098854978635,"included",30,1.17278378822686,6.39971205464766,"Not Selected"
"3",3.2,28.1,69.1,48,48,24,NA,"immediate","yes","no","included",32,-0.0353653781512605,7.99874948553208,"included",32,1.77596098979255,5.73783263324723,"excluded",NA,NA,NA,"Not Selected"
"4",4.1,28,72,24,24,24,NA,NA,"yes","no","included",39,0.840494309157764,8.95348268867579,"included",39,1.25011893880936,8.15212234962177,"included",39,0.720428641122282,9.15033230354737,"Not Selected"
"5",5.1,21.73,64.36,18,18,18,"Nolimt",NA,"no","yes","included",128,0.548107766835449,30.8418049315566,"included",128,0.838629709475256,29.4141309834551,"included",128,0.269130792165292,31.7128740827545,"Not Selected"
"6",6.1,24,67,12,12,12,NA,"25to48hr","yes","yes","included",64,0.473758255744252,15.5633566355966,"included",64,0.902346866634131,14.5219720748043,"outlier",64,0,16,"Not Selected"
"7",9.1,27.6,71.4,24,24,48,NA,"immediate","yes","no","excluded",NA,NA,NA,"excluded",NA,NA,NA,"included",69,0.63001019650829,16.4050100007971,"Selected"
"8",11.1,20,75,40,40,40,NA,"immediate","no","yes","excluded",NA,NA,NA,"excluded",NA,NA,NA,"included",86,1.02257917275744,19.0146263240044,"Selected"
"9",12.1,18.9,72.7,27,8,8,NA,"immediate","no","yes","included",47,-0.436337753698527,11.4717892869574,"outlier",47,0.178394572183507,11.6981657029836,"excluded",NA,NA,NA,"Not Selected"
"10",12.2,23.2,73.2,48,16,16,NA,"immediate","no","no","included",84,0,21,"included",84,1.42091287804154,16.7681515672908,"excluded",NA,NA,NA,"Not Selected"
"11",13.1,26.29,73.76,16,16,16,NA,NA,"no","yes","excluded",NA,NA,NA,"excluded",NA,NA,NA,"excluded",NA,NA,NA,"Selected"
"12",14.1,26.86,67.33,30,30,30,NA,NA,"yes","yes","included",45,0.412463061950856,9.81447825078716,"included",45,1.115085678952,8.7861314401989,"included",45,0.927975147103885,9.12673579390449,"Not Selected"
"13",15.1,NA,NA,50,30,30,NA,"immediate","no","yes","outlier",218,0.838741045747595,49.8467216083791,"outlier",218,0.385216422826869,53.2244812800424,"excluded",NA,NA,NA,"Not Selected"
